veg69,veg12,S
1.0,1.0,0.0507855
1.0,1.0,0.0679645
1.0,1.0,0.05459749999999999
1.0,2.0,0.116112
1.0,1.0,0.06872374999999999
1.0,1.0,0.072592
3.0,3.0,0.09470174999999999
1.0,1.0,0.0596835
1.0,1.0,0.16700199999999998
1.0,2.0,0.12820225000000002
1.0,3.0,0.06612625
1.0,2.0,0.12215175
1.0,1.0,0.069135
1.0,1.0,0.06195649999999999
1.0,1.0,0.0870245
1.0,3.0,0.0716075
3.0,1.0,0.045667749999999986
1.0,3.0,0.07496
1.0,3.0,0.09047274999999999
1.0,1.0,0.0774545
3.0,1.0,0.13397675
1.0,1.0,0.091641
1.0,1.0,0.06535674999999999
1.0,3.0,0.0775215
1.0,2.0,0.12766024999999998
2.0,2.0,0.088316
1.0,2.0,0.17313974999999998
1.0,3.0,0.11172549999999998
1.0,1.0,0.06141824999999999
1.0,1.0,0.08200299999999999
1.0,1.0,0.05364274999999999
1.0,1.0,0.07214649999999999
1.0,2.0,0.12261774999999998
1.0,1.0,0.08649375
1.0,1.0,0.042178249999999994
3.0,1.0,0.06527825
1.0,1.0,0.10543274999999998
1.0,3.0,0.39319249999999994
1.0,1.0,0.10867225
1.0,1.0,0.07719725000000001
1.0,1.0,0.06216524999999999
1.0,1.0,0.07015524999999999
1.0,2.0,0.10401999999999999
1.0,3.0,0.07694899999999999
1.0,3.0,0.05744725
1.0,1.0,0.06740425
1.0,1.0,0.12815975
1.0,1.0,0.142984
1.0,3.0,0.11784325
1.0,1.0,0.23303724999999997
1.0,3.0,0.1060045
1.0,1.0,0.05016125
1.0,1.0,0.09006774999999999
1.0,1.0,0.068981
1.0,1.0,0.0764035
1.0,1.0,0.1588695
1.0,1.0,0.06259524999999999
1.0,1.0,0.17449575
1.0,1.0,0.0841095
1.0,1.0,0.0667525
1.0,1.0,0.138967
1.0,1.0,0.071722
1.0,1.0,0.05947324999999999
1.0,1.0,0.11061099999999997
1.0,1.0,0.06600875
1.0,1.0,0.11674
3.0,1.0,0.073563
1.0,3.0,0.07462375
1.0,1.0,0.1055825
1.0,1.0,0.1503215
1.0,3.0,0.161849
1.0,1.0,0.05667725
1.0,3.0,0.23134049999999998
