veg69,veg12,S
1.0,3.0,0.0690645
1.0,3.0,0.27467749999999996
3.0,1.0,0.10791624999999999
1.0,1.0,0.11401674999999999
1.0,1.0,0.08829100000000001
1.0,1.0,0.17618849999999997
1.0,2.0,0.14918875
1.0,3.0,0.165935
1.0,1.0,0.06059224999999999
1.0,3.0,0.05833149999999999
2.0,3.0,0.06819125
1.0,1.0,0.32221249999999996
1.0,1.0,0.050268249999999993
1.0,1.0,0.31571
1.0,1.0,0.063895
2.0,2.0,0.11868124999999999
1.0,1.0,0.2914
1.0,2.0,0.11626399999999998
1.0,1.0,0.11260524999999998
1.0,1.0,0.062178500000000005
1.0,1.0,0.0500075
1.0,3.0,0.28354
1.0,1.0,0.08695299999999997
3.0,3.0,0.064397
1.0,1.0,0.0697585
2.0,2.0,0.10914275
1.0,1.0,0.13740324999999998
1.0,1.0,0.078322
1.0,1.0,0.228493
1.0,3.0,0.17514575000000002
1.0,1.0,0.08271424999999999
1.0,1.0,0.11803049999999998
1.0,3.0,0.0864095
2.0,2.0,0.14284449999999999
1.0,1.0,0.08452125
1.0,3.0,0.06115074999999999
1.0,1.0,0.07645475
1.0,1.0,0.07596725
2.0,2.0,0.05239374999999999
1.0,1.0,0.10779425
1.0,1.0,0.06534475000000001
1.0,3.0,0.08146524999999999
1.0,1.0,0.06337475
2.0,1.0,0.08388999999999999
1.0,1.0,0.147428
1.0,3.0,0.13059225
2.0,1.0,0.04207949999999999
1.0,2.0,0.2086625
1.0,1.0,0.14827875
3.0,3.0,0.07303525
1.0,3.0,0.20749025000000004
1.0,1.0,0.098017
1.0,3.0,0.09417999999999999
1.0,3.0,0.10386549999999999
1.0,2.0,0.07308049999999999
1.0,1.0,0.11855699999999998
1.0,1.0,0.0722395
3.0,1.0,0.117501
1.0,1.0,0.0594085
1.0,1.0,0.052983249999999996
1.0,3.0,0.06884249999999999
1.0,1.0,0.827195
1.0,1.0,0.0650755
3.0,3.0,0.10700225
1.0,3.0,0.085132
1.0,1.0,0.06795899999999999
1.0,2.0,0.14389174999999998
1.0,3.0,0.1116865
2.0,1.0,0.14940799999999999
3.0,1.0,0.07816424999999999
1.0,3.0,0.06879874999999999
1.0,1.0,0.0848645
1.0,3.0,0.06445425
1.0,2.0,0.07715525
1.0,1.0,0.0693935
2.0,2.0,0.0751835
1.0,1.0,0.07350425000000001
1.0,1.0,0.09498674999999998
1.0,3.0,0.0654975
1.0,1.0,0.08339925
1.0,2.0,0.12085599999999999
1.0,1.0,0.06929625
1.0,1.0,0.06462274999999999
1.0,1.0,0.078923
1.0,3.0,0.47723999999999994
1.0,1.0,0.0646485
1.0,1.0,0.06261525
1.0,1.0,0.14756975
1.0,1.0,0.2938825
1.0,1.0,0.07092649999999999
2.0,1.0,0.10043899999999999
1.0,3.0,0.15784125
1.0,1.0,0.07340524999999999
1.0,3.0,0.19205924999999996
1.0,1.0,0.15789874999999998
1.0,3.0,0.06836899999999999
1.0,2.0,0.10593625
1.0,3.0,0.12444899999999999
1.0,1.0,0.06438424999999999
1.0,1.0,0.19655924999999996
1.0,1.0,0.12859225
2.0,1.0,0.061120249999999994
1.0,1.0,0.07514649999999999
2.0,2.0,0.058821250000000005
1.0,1.0,0.22851775
1.0,3.0,0.06599175
3.0,1.0,0.06527825
1.0,3.0,0.23705724999999997
1.0,1.0,0.052735
1.0,1.0,0.06634849999999999
1.0,1.0,0.08696
1.0,1.0,0.09363275
1.0,1.0,0.10195149999999999
1.0,1.0,0.09591475
1.0,1.0,0.06998375
1.0,3.0,0.08732200000000001
1.0,1.0,0.06102499999999999
1.0,1.0,0.060266
1.0,1.0,0.06855750000000001
1.0,1.0,0.14725175
1.0,1.0,0.086335
1.0,1.0,0.15348825000000002
3.0,1.0,0.04988575
2.0,2.0,0.16005274999999997
1.0,3.0,0.06594399999999999
1.0,1.0,0.10993025
1.0,1.0,0.05242074999999999
