veg69,veg12,S
1.0,1.0,0.287475
1.0,3.0,0.057628250000000006
1.0,1.0,0.06246
2.0,2.0,0.09139825
1.0,1.0,0.05926449999999999
3.0,3.0,0.10137175
1.0,1.0,0.06287175
2.0,1.0,0.08481324999999998
1.0,1.0,0.08202999999999999
1.0,1.0,0.177673
2.0,2.0,0.13641725
1.0,3.0,0.10992099999999999
1.0,1.0,0.06737875
1.0,3.0,0.12708375
2.0,1.0,0.05749
2.0,2.0,0.052139
1.0,1.0,0.14209175
1.0,3.0,0.0659655
1.0,1.0,0.065662
1.0,1.0,0.06657374999999999
1.0,3.0,0.07670424999999999
1.0,2.0,0.1183845
1.0,1.0,0.1302145
1.0,1.0,0.06752775
1.0,3.0,0.12345175
1.0,1.0,0.34348
3.0,3.0,0.06981975
1.0,1.0,0.129042
1.0,1.0,0.07436475
1.0,1.0,0.05681475
3.0,1.0,0.10349299999999997
1.0,3.0,0.05493375
1.0,1.0,0.26574749999999997
1.0,1.0,0.07723
2.0,1.0,0.086876
1.0,1.0,0.047280249999999996
2.0,2.0,0.11747749999999998
1.0,1.0,0.06868874999999999
1.0,1.0,0.09106
1.0,1.0,0.0682805
1.0,1.0,0.07217375
1.0,1.0,0.13020099999999998
1.0,1.0,0.07607825
1.0,1.0,0.08291874999999999
2.0,3.0,0.11671575000000001
1.0,1.0,0.11082849999999998
1.0,1.0,0.2710825
1.0,2.0,0.12387625
3.0,1.0,0.06371125
1.0,1.0,0.051336999999999994
